candidate_id,scene,seed,target,spawn_ok,reachable_count,before_object_id,after_object_id,after_pairing_method,p_stale,p_true,g_passive,g_active,d_passive,d_active,qualifies,status
FloorPlan1|Apple|7,FloorPlan1,7,Apple,True,162,Apple|-00.47|+01.15|+00.48,Apple|+00.71|+00.96|-02.33,unique_type,"{'x': -0.46515366435050964, 'y': 1.151225209236145, 'z': 0.47573861479759216}","{'x': 0.7115572690963745, 'y': 0.9569252133369446, 'z': -2.330366849899292}","{'x': -1.0, 'y': 0.900999128818512, 'z': 0.5}","{'x': 0.75, 'y': 0.900999128818512, 'z': -1.75}",3.3076,0.5816,True,qualifies
FloorPlan1|Book|7,FloorPlan1,7,Book,True,162,Book|+00.15|+01.10|+00.62,Book|+00.08|+01.11|-00.25,unique_type,"{'x': 0.15499891340732574, 'y': 1.0992599725723267, 'z': 0.6169993281364441}","{'x': 0.07909541577100754, 'y': 1.1071525812149048, 'z': -0.25377392768859863}","{'x': 0.25, 'y': 0.900999128818512, 'z': 1.25}","{'x': 1.0, 'y': 0.900999128818512, 'z': -0.25}",1.5135,0.9209,False,below_threshold
FloorPlan3|Cup|7,FloorPlan3,7,Cup,True,115,Cup|+00.68|+01.31|-00.90,Cup|+01.29|+01.32|-00.94,unique_type,"{'x': 0.6819939613342285, 'y': 1.3101826906204224, 'z': -0.9019981026649475}","{'x': 1.2853460311889648, 'y': 1.318251609802246, 'z': -0.9424718618392944}","{'x': 0.25, 'y': 1.123205542564392, 'z': -0.75}","{'x': 1.0, 'y': 1.123205542564392, 'z': -0.25}",1.0531,0.749,False,below_threshold
FloorPlan201|Newspaper|7,FloorPlan201,7,Newspaper,True,234,Newspaper|-02.76|+00.68|+01.18,Newspaper|-00.95|+00.47|+05.55,unique_type,"{'x': -2.7592265605926514, 'y': 0.6819095611572266, 'z': 1.1773176193237305}","{'x': -0.9508419036865234, 'y': 0.47366610169410706, 'z': 5.553868770599365}","{'x': -3.25, 'y': 0.9026566743850708, 'z': 0.75}","{'x': -1.25, 'y': 0.9026566743850708, 'z': 5.25}",5.3257,0.4264,True,qualifies
FloorPlan201|Pencil|7,FloorPlan201,7,Pencil,True,234,Pencil|-02.83|+00.68|+01.51,Pencil|-02.71|+00.69|+01.05,unique_type,"{'x': -2.831773519515991, 'y': 0.6845982074737549, 'z': 1.5094918012619019}","{'x': -2.7128231525421143, 'y': 0.6909465193748474, 'z': 1.0521305799484253}","{'x': -3.0, 'y': 0.9026566743850708, 'z': 2.25}","{'x': -2.75, 'y': 0.9026566743850708, 'z': 0.5}",1.2318,0.5534,False,below_threshold
FloorPlan1|Apple|11,FloorPlan1,11,Apple,True,162,Apple|-00.47|+01.15|+00.48,Apple|-00.20|+01.16|00.00,unique_type,"{'x': -0.46515366435050964, 'y': 1.151225209236145, 'z': 0.47573861479759216}","{'x': -0.19729512929916382, 'y': 1.157825231552124, 'z': -0.001000046730041504}","{'x': -1.0, 'y': 0.900999128818512, 'z': 0.5}","{'x': -1.0, 'y': 0.900999128818512, 'z': 0.0}",0.9462,0.8027,False,below_threshold
FloorPlan1|Book|11,FloorPlan1,11,Book,True,162,Book|+00.15|+01.10|+00.62,Book|+00.15|+01.10|+00.62,object_id,"{'x': 0.15499891340732574, 'y': 1.0992599725723267, 'z': 0.6169993281364441}","{'x': 0.15499894320964813, 'y': 1.099259376525879, 'z': 0.6169992685317993}","{'x': 0.25, 'y': 0.900999128818512, 'z': 1.25}","{'x': 0.25, 'y': 0.900999128818512, 'z': 1.25}",0.6401,0.6401,False,below_threshold
FloorPlan3|Cup|11,FloorPlan3,11,Cup,True,115,Cup|+00.68|+01.31|-00.90,Cup|-01.83|+01.33|-01.05,unique_type,"{'x': 0.6819939613342285, 'y': 1.3101836442947388, 'z': -0.9019978046417236}","{'x': -1.8265241384506226, 'y': 1.3283932209014893, 'z': -1.0492291450500488}","{'x': 0.25, 'y': 1.123205542564392, 'z': -0.75}","{'x': -1.0, 'y': 1.123205542564392, 'z': -1.0}",2.098,0.828,True,qualifies
FloorPlan201|Newspaper|11,FloorPlan201,11,Newspaper,True,234,Newspaper|-02.76|+00.68|+01.18,Newspaper|-02.33|+00.61|+04.69,unique_type,"{'x': -2.7592265605926514, 'y': 0.6819095611572266, 'z': 1.1773176193237305}","{'x': -2.3260953426361084, 'y': 0.6103484630584717, 'z': 4.689019203186035}","{'x': -3.25, 'y': 0.9026566743850708, 'z': 0.75}","{'x': -2.25, 'y': 0.9026566743850708, 'z': 4.25}",4.0459,0.4456,True,qualifies
FloorPlan201|Pencil|11,FloorPlan201,11,Pencil,True,234,Pencil|-02.83|+00.68|+01.51,Pencil|-02.27|+00.69|+01.30,unique_type,"{'x': -2.831773519515991, 'y': 0.6845982074737549, 'z': 1.5094918012619019}","{'x': -2.2689051628112793, 'y': 0.6909467577934265, 'z': 1.2991931438446045}","{'x': -3.0, 'y': 0.9026566743850708, 'z': 2.25}","{'x': -2.25, 'y': 0.9026566743850708, 'z': 0.5}",1.1994,0.7994,False,below_threshold
FloorPlan1|Apple|17,FloorPlan1,17,Apple,True,162,Apple|-00.47|+01.15|+00.48,Apple|-01.77|+00.96|-00.51,unique_type,"{'x': -0.46515366435050964, 'y': 1.151225209236145, 'z': 0.47573861479759216}","{'x': -1.7748464345932007, 'y': 0.9576252102851868, 'z': -0.5130009651184082}","{'x': -1.0, 'y': 0.900999128818512, 'z': 0.5}","{'x': -1.25, 'y': 0.900999128818512, 'z': -0.5}",1.2754,0.525,False,below_threshold
FloorPlan1|Book|17,FloorPlan1,17,Book,True,162,Book|+00.15|+01.10|+00.62,Book|-00.34|+01.11|-00.76,unique_type,"{'x': 0.15499891340732574, 'y': 1.0992599725723267, 'z': 0.6169993281364441}","{'x': -0.3354904055595398, 'y': 1.1071525812149048, 'z': -0.7593218088150024}","{'x': 0.25, 'y': 0.900999128818512, 'z': 1.25}","{'x': -0.25, 'y': 0.900999128818512, 'z': -1.25}",2.0929,0.4981,True,qualifies
FloorPlan3|Cup|17,FloorPlan3,17,Cup,True,115,Cup|+00.68|+01.31|-00.90,Cup|+00.98|+01.23|+01.19,unique_type,"{'x': 0.6819939613342285, 'y': 1.3101836442947388, 'z': -0.9019978046417236}","{'x': 0.9756708741188049, 'y': 1.225113868713379, 'z': 1.193561315536499}","{'x': 0.25, 'y': 1.123205542564392, 'z': -0.75}","{'x': 0.25, 'y': 1.123205542564392, 'z': 1.25}",2.0746,0.7279,True,qualifies
FloorPlan201|Newspaper|17,FloorPlan201,17,Newspaper,True,234,Newspaper|-02.76|+00.68|+01.18,Newspaper|-02.25|+00.61|+05.16,unique_type,"{'x': -2.7592265605926514, 'y': 0.6819095611572266, 'z': 1.1773176193237305}","{'x': -2.248648166656494, 'y': 0.6103494167327881, 'z': 5.155003547668457}","{'x': -3.25, 'y': 0.9026566743850708, 'z': 0.75}","{'x': -2.25, 'y': 0.9026566743850708, 'z': 5.5}",4.5174,0.345,True,qualifies
FloorPlan201|Pencil|17,FloorPlan201,17,Pencil,True,234,Pencil|-02.83|+00.68|+01.51,Pencil|-02.33|+00.61|+04.77,unique_type,"{'x': -2.831773519515991, 'y': 0.6845982074737549, 'z': 1.5094918012619019}","{'x': -2.32609486579895, 'y': 0.6118695735931396, 'z': 4.7666826248168945}","{'x': -3.0, 'y': 0.9026566743850708, 'z': 2.25}","{'x': -2.25, 'y': 0.9026566743850708, 'z': 4.25}",2.6053,0.5223,True,qualifies
