case_id,arm,scene,seed,target,target_object_id,target_pickupable,target_openable,remembered_location,verifier_used,verifier_name,decision_stale,decision_confidence,decision_reason,decision_matches_oracle,oracle_stale_label,memory_mutated,memory_old_position,memory_new_position,memory_update_action,task_execution_evaluated,downstream_task_success,execute_action,execution_boundary,bridge_mode,used_teleportfull_for_revisit,task_bridge_used_teleportfull,revisit_path_steps,task_bridge_path_steps,source_active_artifact,source_row_offset,derived_from,row_type,task_execution_failure_reason,task_bridge_navigation_actions,task_bridge_navigation_failure_reason
5e8333a2,active,FloorPlan1,7,Apple,Apple|-00.47|+01.15|+00.48,True,False,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,True,grounded_sam2,True,1.0,nearest_after_detection_normalized_frame_distance,True,True,True,"{'x': -0.4651575982570648, 'y': 1.151225209236145, 'z': 0.47575879096984863}","{'x': 0.7115572690963745, 'y': 0.9569252133369446, 'z': -2.330366849899292}",propose_detector_evidence_refresh,True,True,PickupObject,"stepwise_task_bridge_after_verified_memory_update; uses bounded stepwise navigation before one downstream PickupObject/OpenObject attempt after detector-backed memory refresh; not ObjectNav/SPL, not full navigation, not a manipulation benchmark, not persistent memory writeback, not broad task success",stepwise_navigation,False,False,2,18,results/0514_paired_hard_challenge_v1/active/live_gsam_closed_loop.json,0,recorded_active_closed_loop_row,recorded_active,,,
5e8333a2,passive,FloorPlan1,7,Apple,Apple|-00.47|+01.15|+00.48,True,False,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,False,none_passive_arm,,,live_passive_arm_no_verifier_executed,,True,False,"{'x': -0.4651575982570648, 'y': 1.151225209236145, 'z': 0.47575879096984863}","{'x': -0.4651575982570648, 'y': 1.151225209236145, 'z': 0.47575879096984863}",none_live_passive_arm,True,False,PickupObject,"live_passive_task_bridge_from_stale_memory_old_position; no_verifier; no_memory_mutation; stepwise navigation only (no TeleportFull, no TeleportObject); no decision_stale check; no persistent writeback; passive downstream task evaluated from stale memory without detector evidence; not a manipulation benchmark; not ObjectNav/SPL; not broad passive-vs-active superiority claim",stepwise_navigation_live_passive,False,False,0,2,results/0514_paired_hard_challenge_v1/active/live_gsam_closed_loop.json,0,live_passive_controller_from_recorded_active_case,live_passive,NullReferenceException: Target object not found within the specified visibility.,"['RotateRight', 'RotateRight', 'RotateRight', 'MoveAhead', 'MoveAhead']",
81de5794,active,FloorPlan201,7,Newspaper,Newspaper|-02.76|+00.68|+01.18,True,False,FloorPlan201:Newspaper|-02.76|+00.68|+01.18@before,True,grounded_sam2,True,1.0,nearest_after_detection_normalized_frame_distance,True,True,True,"{'x': -2.7592265605926514, 'y': 0.6819102764129639, 'z': 1.1773196458816528}","{'x': -0.9508417844772339, 'y': 0.47366589307785034, 'z': 5.553868293762207}",propose_detector_evidence_refresh,True,True,PickupObject,"stepwise_task_bridge_after_verified_memory_update; uses bounded stepwise navigation before one downstream PickupObject/OpenObject attempt after detector-backed memory refresh; not ObjectNav/SPL, not full navigation, not a manipulation benchmark, not persistent memory writeback, not broad task success",stepwise_navigation,False,False,6,26,results/0514_paired_hard_challenge_v1/active/live_gsam_closed_loop.json,1,recorded_active_closed_loop_row,recorded_active,,,
81de5794,passive,FloorPlan201,7,Newspaper,Newspaper|-02.76|+00.68|+01.18,True,False,FloorPlan201:Newspaper|-02.76|+00.68|+01.18@before,False,none_passive_arm,,,live_passive_arm_no_verifier_executed,,True,False,"{'x': -2.7592265605926514, 'y': 0.6819102764129639, 'z': 1.1773196458816528}","{'x': -2.7592265605926514, 'y': 0.6819102764129639, 'z': 1.1773196458816528}",none_live_passive_arm,True,False,PickupObject,"live_passive_task_bridge_from_stale_memory_old_position; no_verifier; no_memory_mutation; stepwise navigation only (no TeleportFull, no TeleportObject); no decision_stale check; no persistent writeback; passive downstream task evaluated from stale memory without detector evidence; not a manipulation benchmark; not ObjectNav/SPL; not broad passive-vs-active superiority claim",stepwise_navigation_live_passive,False,False,0,6,results/0514_paired_hard_challenge_v1/active/live_gsam_closed_loop.json,1,live_passive_controller_from_recorded_active_case,live_passive,NullReferenceException: Target object not found within the specified visibility.,"['RotateRight', 'MoveAhead', 'RotateRight', 'MoveAhead', 'MoveAhead', 'RotateLeft', 'MoveAhead', 'RotateRight', 'MoveAhead', 'RotateLeft', 'MoveAhead']",
2b88d2be,active,FloorPlan3,11,Cup,Cup|+00.68|+01.31|-00.90,True,False,FloorPlan3:Cup|+00.68|+01.31|-00.90@before,True,grounded_sam2,True,1.0,nearest_after_detection_normalized_frame_distance,True,True,True,"{'x': 0.6819939613342285, 'y': 1.310182809829712, 'z': -0.9019981026649475}","{'x': -1.8265241384506226, 'y': 1.3283933401107788, 'z': -1.0492291450500488}",propose_detector_evidence_refresh,True,False,PickupObject,"stepwise_task_bridge_after_verified_memory_update; uses bounded stepwise navigation before one downstream PickupObject/OpenObject attempt after detector-backed memory refresh; not ObjectNav/SPL, not full navigation, not a manipulation benchmark, not persistent memory writeback, not broad task success",stepwise_navigation,False,False,7,7,results/0514_paired_hard_challenge_v1/active/live_gsam_closed_loop.json,2,recorded_active_closed_loop_row,recorded_active,,,
2b88d2be,passive,FloorPlan3,11,Cup,Cup|+00.68|+01.31|-00.90,True,False,FloorPlan3:Cup|+00.68|+01.31|-00.90@before,False,none_passive_arm,,,live_passive_arm_no_verifier_executed,,True,False,"{'x': 0.6819939613342285, 'y': 1.310182809829712, 'z': -0.9019981026649475}","{'x': 0.6819939613342285, 'y': 1.310182809829712, 'z': -0.9019981026649475}",none_live_passive_arm,True,False,PickupObject,"live_passive_task_bridge_from_stale_memory_old_position; no_verifier; no_memory_mutation; stepwise navigation only (no TeleportFull, no TeleportObject); no decision_stale check; no persistent writeback; passive downstream task evaluated from stale memory without detector evidence; not a manipulation benchmark; not ObjectNav/SPL; not broad passive-vs-active superiority claim",stepwise_navigation_live_passive,False,False,0,7,results/0514_paired_hard_challenge_v1/active/live_gsam_closed_loop.json,2,live_passive_controller_from_recorded_active_case,live_passive,NullReferenceException: Target object not found within the specified visibility.,"['MoveAhead', 'RotateRight', 'MoveAhead', 'RotateRight', 'MoveAhead', 'RotateLeft', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'RotateRight', 'MoveAhead']",
359a805f,active,FloorPlan201,11,Newspaper,Newspaper|-02.76|+00.68|+01.18,True,False,FloorPlan201:Newspaper|-02.76|+00.68|+01.18@before,True,grounded_sam2,True,1.0,nearest_after_detection_normalized_frame_distance,True,True,True,"{'x': -2.7592265605926514, 'y': 0.681910514831543, 'z': 1.1773200035095215}","{'x': -2.3260958194732666, 'y': 0.6103488206863403, 'z': 4.689019203186035}",propose_detector_evidence_refresh,True,True,PickupObject,"stepwise_task_bridge_after_verified_memory_update; uses bounded stepwise navigation before one downstream PickupObject/OpenObject attempt after detector-backed memory refresh; not ObjectNav/SPL, not full navigation, not a manipulation benchmark, not persistent memory writeback, not broad task success",stepwise_navigation,False,False,6,18,results/0514_paired_hard_challenge_v1/active/live_gsam_closed_loop.json,3,recorded_active_closed_loop_row,recorded_active,,,
359a805f,passive,FloorPlan201,11,Newspaper,Newspaper|-02.76|+00.68|+01.18,True,False,FloorPlan201:Newspaper|-02.76|+00.68|+01.18@before,False,none_passive_arm,,,live_passive_arm_no_verifier_executed,,True,False,"{'x': -2.7592265605926514, 'y': 0.681910514831543, 'z': 1.1773200035095215}","{'x': -2.7592265605926514, 'y': 0.681910514831543, 'z': 1.1773200035095215}",none_live_passive_arm,True,False,PickupObject,"live_passive_task_bridge_from_stale_memory_old_position; no_verifier; no_memory_mutation; stepwise navigation only (no TeleportFull, no TeleportObject); no decision_stale check; no persistent writeback; passive downstream task evaluated from stale memory without detector evidence; not a manipulation benchmark; not ObjectNav/SPL; not broad passive-vs-active superiority claim",stepwise_navigation_live_passive,False,False,0,6,results/0514_paired_hard_challenge_v1/active/live_gsam_closed_loop.json,3,live_passive_controller_from_recorded_active_case,live_passive,NullReferenceException: Target object not found within the specified visibility.,"['RotateRight', 'MoveAhead', 'RotateRight', 'MoveAhead', 'MoveAhead', 'RotateLeft', 'MoveAhead', 'RotateRight', 'MoveAhead', 'RotateLeft', 'MoveAhead']",
5592b48f,active,FloorPlan1,17,Book,Book|+00.15|+01.10|+00.62,True,True,FloorPlan1:Book|+00.15|+01.10|+00.62@before,True,grounded_sam2,False,1.0,nearest_after_detection_normalized_frame_distance,False,True,False,,,none,False,,not_executed,verification_only_no_downstream_action,not_executed,False,False,8,0,results/0514_paired_hard_challenge_v1/active/live_gsam_closed_loop.json,4,recorded_active_closed_loop_row,recorded_active,,,
5592b48f,passive,FloorPlan1,17,Book,Book|+00.15|+01.10|+00.62,True,True,FloorPlan1:Book|+00.15|+01.10|+00.62@before,False,none_passive_arm,,,live_passive_arm_no_verifier_executed,,True,False,,,none_live_passive_arm,True,False,PickupObject,"live_passive_task_bridge_from_stale_memory_old_position; no_verifier; no_memory_mutation; stepwise navigation only (no TeleportFull, no TeleportObject); no decision_stale check; no persistent writeback; passive downstream task evaluated from stale memory without detector evidence; not a manipulation benchmark; not ObjectNav/SPL; not broad passive-vs-active superiority claim",not_applicable_no_memory_position,False,False,0,0,results/0514_paired_hard_challenge_v1/active/live_gsam_closed_loop.json,4,live_passive_controller_from_recorded_active_case,live_passive,no_memory_old_position_for_passive_task_bridge,[],
