case_id,arm,scene,seed,target,target_object_id,target_pickupable,target_openable,remembered_location,verifier_used,verifier_name,decision_stale,decision_confidence,decision_reason,decision_matches_oracle,oracle_stale_label,memory_mutated,memory_old_position,memory_new_position,memory_update_action,task_execution_evaluated,downstream_task_success,execute_action,execution_boundary,bridge_mode,used_teleportfull_for_revisit,task_bridge_used_teleportfull,revisit_path_steps,task_bridge_path_steps,source_active_artifact,source_row_offset,derived_from,row_type
27021841,active,FloorPlan1,29,Apple,Apple|-00.47|+01.15|+00.48,True,False,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,True,grounded_sam2,True,1.0,nearest_after_detection_normalized_frame_distance,True,True,True,"{'x': -0.4651601314544678, 'y': 1.151225209236145, 'z': 0.4757716655731201}","{'x': -0.05909985303878784, 'y': 1.157825231552124, 'z': -0.25377392768859863}",propose_detector_evidence_refresh,True,True,PickupObject,"stepwise_task_bridge_after_verified_memory_update; uses bounded stepwise navigation before one downstream PickupObject/OpenObject attempt after detector-backed memory refresh; not ObjectNav/SPL, not full navigation, not a manipulation benchmark, not persistent memory writeback, not broad task success",stepwise_navigation,False,False,2,5,results/ai2thor_live_gsam_mixed_challenge_budgetfix_v1/live_gsam_closed_loop.json,0,recorded_active_closed_loop_row,recorded_active
27021841,passive,FloorPlan1,29,Apple,Apple|-00.47|+01.15|+00.48,True,False,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,False,none_passive_arm,,,passive_arm_no_verifier_executed,,True,False,"{'x': -0.4651601314544678, 'y': 1.151225209236145, 'z': 0.4757716655731201}","{'x': -0.4651601314544678, 'y': 1.151225209236145, 'z': 0.4757716655731201}",none_passive_arm,False,,not_executed,prepared_passive_control_reference_only; no passive controller execution; stale memory retained; downstream task not attempted on passive arm,passive_no_bridge,False,False,0,0,results/ai2thor_live_gsam_mixed_challenge_budgetfix_v1/live_gsam_closed_loop.json,0,derived_from_recorded_active_row_no_live_passive_execution,derived_passive
deaeb600,active,FloorPlan201,29,Pencil,Pencil|-02.83|+00.68|+01.51,True,False,FloorPlan201:Pencil|-02.83|+00.68|+01.51@before,True,grounded_sam2,True,0.0,no_matching_detection,True,True,True,"{'x': -2.831773519515991, 'y': 0.6845980286598206, 'z': 1.5094935894012451}","{'x': -2.480984926223755, 'y': 0.6448277235031128, 'z': 4.999676704406738}",propose_detector_evidence_refresh,True,True,PickupObject,"stepwise_task_bridge_after_verified_memory_update; uses bounded stepwise navigation before one downstream PickupObject/OpenObject attempt after detector-backed memory refresh; not ObjectNav/SPL, not full navigation, not a manipulation benchmark, not persistent memory writeback, not broad task success",stepwise_navigation,False,False,7,22,results/ai2thor_live_gsam_mixed_challenge_budgetfix_v1/live_gsam_closed_loop.json,1,recorded_active_closed_loop_row,recorded_active
deaeb600,passive,FloorPlan201,29,Pencil,Pencil|-02.83|+00.68|+01.51,True,False,FloorPlan201:Pencil|-02.83|+00.68|+01.51@before,False,none_passive_arm,,,passive_arm_no_verifier_executed,,True,False,"{'x': -2.831773519515991, 'y': 0.6845980286598206, 'z': 1.5094935894012451}","{'x': -2.831773519515991, 'y': 0.6845980286598206, 'z': 1.5094935894012451}",none_passive_arm,False,,not_executed,prepared_passive_control_reference_only; no passive controller execution; stale memory retained; downstream task not attempted on passive arm,passive_no_bridge,False,False,0,0,results/ai2thor_live_gsam_mixed_challenge_budgetfix_v1/live_gsam_closed_loop.json,1,derived_from_recorded_active_row_no_live_passive_execution,derived_passive
3a2b3993,active,FloorPlan1,11,Apple,Apple|-00.47|+01.15|+00.48,True,False,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,True,grounded_sam2,True,1.0,nearest_after_detection_normalized_frame_distance,True,True,True,"{'x': -0.4651575982570648, 'y': 1.151225209236145, 'z': 0.47575879096984863}","{'x': -0.19729512929916382, 'y': 1.157825231552124, 'z': -0.001000046730041504}",propose_detector_evidence_refresh,True,True,PickupObject,"stepwise_task_bridge_after_verified_memory_update; uses bounded stepwise navigation before one downstream PickupObject/OpenObject attempt after detector-backed memory refresh; not ObjectNav/SPL, not full navigation, not a manipulation benchmark, not persistent memory writeback, not broad task success",stepwise_navigation,False,False,2,4,results/ai2thor_live_gsam_mixed_challenge_budgetfix_v1/live_gsam_closed_loop.json,2,recorded_active_closed_loop_row,recorded_active
3a2b3993,passive,FloorPlan1,11,Apple,Apple|-00.47|+01.15|+00.48,True,False,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,False,none_passive_arm,,,passive_arm_no_verifier_executed,,True,False,"{'x': -0.4651575982570648, 'y': 1.151225209236145, 'z': 0.47575879096984863}","{'x': -0.4651575982570648, 'y': 1.151225209236145, 'z': 0.47575879096984863}",none_passive_arm,False,,not_executed,prepared_passive_control_reference_only; no passive controller execution; stale memory retained; downstream task not attempted on passive arm,passive_no_bridge,False,False,0,0,results/ai2thor_live_gsam_mixed_challenge_budgetfix_v1/live_gsam_closed_loop.json,2,derived_from_recorded_active_row_no_live_passive_execution,derived_passive
e3611934,active,FloorPlan201,11,Pencil,Pencil|-02.83|+00.68|+01.51,True,False,FloorPlan201:Pencil|-02.83|+00.68|+01.51@before,True,grounded_sam2,True,0.0,no_matching_detection,True,True,True,"{'x': -2.831773519515991, 'y': 0.6845980286598206, 'z': 1.5094935894012451}","{'x': -2.2689056396484375, 'y': 0.6909470558166504, 'z': 1.2991939783096313}",propose_detector_evidence_refresh,True,True,PickupObject,"stepwise_task_bridge_after_verified_memory_update; uses bounded stepwise navigation before one downstream PickupObject/OpenObject attempt after detector-backed memory refresh; not ObjectNav/SPL, not full navigation, not a manipulation benchmark, not persistent memory writeback, not broad task success",stepwise_navigation,False,False,7,31,results/ai2thor_live_gsam_mixed_challenge_budgetfix_v1/live_gsam_closed_loop.json,3,recorded_active_closed_loop_row,recorded_active
e3611934,passive,FloorPlan201,11,Pencil,Pencil|-02.83|+00.68|+01.51,True,False,FloorPlan201:Pencil|-02.83|+00.68|+01.51@before,False,none_passive_arm,,,passive_arm_no_verifier_executed,,True,False,"{'x': -2.831773519515991, 'y': 0.6845980286598206, 'z': 1.5094935894012451}","{'x': -2.831773519515991, 'y': 0.6845980286598206, 'z': 1.5094935894012451}",none_passive_arm,False,,not_executed,prepared_passive_control_reference_only; no passive controller execution; stale memory retained; downstream task not attempted on passive arm,passive_no_bridge,False,False,0,0,results/ai2thor_live_gsam_mixed_challenge_budgetfix_v1/live_gsam_closed_loop.json,3,derived_from_recorded_active_row_no_live_passive_execution,derived_passive
5e8333a2,active,FloorPlan1,7,Apple,Apple|-00.47|+01.15|+00.48,True,False,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,True,grounded_sam2,True,1.0,nearest_after_detection_normalized_frame_distance,True,True,True,"{'x': -0.46515920758247375, 'y': 1.151225209236145, 'z': 0.47576701641082764}","{'x': 0.7115572690963745, 'y': 0.9569252133369446, 'z': -2.330366849899292}",propose_detector_evidence_refresh,True,True,PickupObject,"stepwise_task_bridge_after_verified_memory_update; uses bounded stepwise navigation before one downstream PickupObject/OpenObject attempt after detector-backed memory refresh; not ObjectNav/SPL, not full navigation, not a manipulation benchmark, not persistent memory writeback, not broad task success",stepwise_navigation,False,False,2,18,results/ai2thor_live_gsam_mixed_challenge_budgetfix_v1/live_gsam_closed_loop.json,4,recorded_active_closed_loop_row,recorded_active
5e8333a2,passive,FloorPlan1,7,Apple,Apple|-00.47|+01.15|+00.48,True,False,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,False,none_passive_arm,,,passive_arm_no_verifier_executed,,True,False,"{'x': -0.46515920758247375, 'y': 1.151225209236145, 'z': 0.47576701641082764}","{'x': -0.46515920758247375, 'y': 1.151225209236145, 'z': 0.47576701641082764}",none_passive_arm,False,,not_executed,prepared_passive_control_reference_only; no passive controller execution; stale memory retained; downstream task not attempted on passive arm,passive_no_bridge,False,False,0,0,results/ai2thor_live_gsam_mixed_challenge_budgetfix_v1/live_gsam_closed_loop.json,4,derived_from_recorded_active_row_no_live_passive_execution,derived_passive
