strategy,budget,selected_rows,labelled_rows,agreement_rows,agreement_rate,stale_decision_rows,oracle_stale_rows,mean_expected_verification_value,memory_updated_rows,true_positive_rows,false_positive_rows,true_negative_rows,false_negative_rows,false_negative_rate,false_positive_rate,random_trials
all_verify,all,30,30,22,0.7333,20,28,0.7287,0,20,0,2,8,0.2667,0.0,
ev_budgeted,1,1,1,1,1.0,1,1,0.77,0,1,0,0,0,0.0,0.0,
random_budgeted_avg,1,1.0,1.0,0.8,0.8,0.4,0.6,0.522,0.0,0.4,0.0,0.4,0.2,0.2,0.0,5
ev_budgeted,2,2,2,1,0.5,1,2,0.77,0,1,0,0,1,0.5,0.0,
random_budgeted_avg,2,2.0,2.0,1.4,0.7,1.0,1.6,0.646,0.0,1.0,0.0,0.4,0.6,0.3,0.0,5
ev_budgeted,3,3,3,2,0.6667,2,3,0.77,0,2,0,0,1,0.3333,0.0,
random_budgeted_avg,3,3.0,3.0,2.0,0.6667,1.6,2.6,0.6873,0.0,1.6,0.0,0.4,1.0,0.3333,0.0,5
ev_budgeted,5,5,5,4,0.8,4,5,0.77,0,4,0,0,1,0.2,0.0,
random_budgeted_avg,5,5.0,5.0,3.2,0.64,2.6,4.4,0.6956,0.0,2.6,0.0,0.6,1.8,0.36,0.0,5
ev_budgeted,10,10,10,6,0.6,6,10,0.77,0,6,0,0,4,0.4,0.0,
random_budgeted_avg,10,10.0,10.0,6.2,0.62,5.2,9.0,0.708,0.0,5.2,0.0,1.0,3.8,0.38,0.0,5
ev_budgeted,15,15,15,8,0.5333,8,15,0.77,0,8,0,0,7,0.4667,0.0,
random_budgeted_avg,15,15.0,15.0,10.0,0.6667,8.6,13.6,0.7121,0.0,8.6,0.0,1.4,5.0,0.3333,0.0,5
ev_budgeted,20,20,20,12,0.6,12,20,0.77,0,12,0,0,8,0.4,0.0,
random_budgeted_avg,20,20.0,20.0,14.6,0.73,13.2,18.6,0.7266,0.0,13.2,0.0,1.4,5.4,0.27,0.0,5
ev_budgeted,30,30,30,22,0.7333,20,28,0.7287,0,20,0,2,8,0.2667,0.0,
random_budgeted_avg,30,30.0,30.0,22.0,0.7333,20.0,28.0,0.7287,0.0,20.0,0.0,2.0,8.0,0.2667,0.0,5
