outcome,field,value,rows
tp,scene,FloorPlan3,6
tp,scene,FloorPlan1,4
tp,scene,FloorPlan201,3
tp,target,Apple,4
tp,target,Cup,3
tp,target,Knife,3
tp,target,Pencil,3
tp,visibility_error,target_not_visible_after_revisit_sweep,9
tp,visibility_error,null,4
tp,target_visible_after_revisit_sweep,false,9
tp,target_visible_after_revisit_sweep,true,4
tp,decision_reason,nearest_after_detection_normalized_frame_distance,9
tp,decision_reason,no_matching_detection,4
tp,candidate_selected_by_budget,null,13
tn,scene,FloorPlan1,2
tn,target,Book,2
tn,visibility_error,null,2
tn,target_visible_after_revisit_sweep,true,2
tn,decision_reason,nearest_after_detection_normalized_frame_distance,2
tn,candidate_selected_by_budget,null,2
fn,scene,FloorPlan201,3
fn,scene,FloorPlan1,2
fn,target,Newspaper,3
fn,target,Book,2
fn,visibility_error,target_not_visible_after_revisit_sweep,4
fn,visibility_error,null,1
fn,target_visible_after_revisit_sweep,false,4
fn,target_visible_after_revisit_sweep,true,1
fn,decision_reason,nearest_after_detection_normalized_frame_distance,5
fn,candidate_selected_by_budget,null,5
